"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","Dinrova Horror","mm3","Near Mint","English","","","2024-02-22 00:03:57.637000","160","False","False",""
"4","4","Dispel","bfz","Near Mint","English","","","2024-01-14 23:50:05.387000","76","False","False",""
"4","4","Drannith Healer","iko","Near Mint","Portuguese","","","2024-01-14 23:28:33.423000","10","False","False",""
"4","4","Drannith Stinger","j22","Near Mint","English","","","2024-01-14 05:29:27.500000","78","False","False",""
"4","4","Drossforge Bridge","brc","Near Mint","English","","","2024-02-27 18:01:33.413000","183","False","False",""
"4","4","Duress","sta","Near Mint","English","","","2024-01-14 23:24:52.163000","29","False","False",""
"4","4","Dust to Dust","5ed","Near Mint","English","","","2024-03-11 15:17:40.390000","29","False","False",""
"4","4","Echoing Truth","dmc","Near Mint","English","","","2024-01-14 23:43:59.083000","109","False","False",""
"4","4","Electrickery","rtr","Near Mint","English","","","2024-02-21 22:58:46.273000","93","False","False",""
"4","4","End the Festivities","dbl","Near Mint","English","","","2024-03-15 15:07:09.390000","422","False","False",""
"4","4","Energy Refractor","bro","Near Mint","Portuguese","","","2024-02-22 02:02:25.517000","234","False","False",""
"4","4","Ephemerate","mh1","Near Mint","English","","","2024-02-22 00:14:58.097000","7","False","False",""
"4","4","Everflowing Chalice","2xm","Near Mint","English","","","2024-01-14 23:31:17.840000","254","False","False",""
"4","4","Evolving Wilds","brc","Near Mint","English","","","2024-02-27 18:02:06.980000","184","False","False",""
"1","1","Exclude","c14","Near Mint","English","","","2024-02-22 02:56:40.147000","108","False","False",""
"4","4","Expedition Map","zen","Near Mint","English","","","2024-02-22 02:00:03.453000","201","False","False",""
"4","4","Experimental Augury","one","Near Mint","Portuguese","","","2024-01-14 23:52:17.660000","278","False","False",""
"4","4","Experimental Synthesizer","neo","Near Mint","English","","","2024-01-14 05:23:41.673000","138","False","False",""
"4","4","Explore","ltc","Near Mint","English","foil","","2024-03-01 16:26:59.917000","528","False","False",""
"4","4","Faerie Macabre","shm","Near Mint","English","","","2024-01-14 23:20:44.567000","66","False","False",""
"4","4","Faerie Miscreant","m20","Near Mint","Portuguese","","","2024-01-14 23:47:17.010000","58","False","False",""
"4","4","Faerie Seer","woc","Near Mint","English","","","2024-01-14 23:46:28.337000","92","False","False",""
"4","4","Faithless Looting","c14","Near Mint","English","","","2024-02-22 12:35:51.657000","175","False","False",""
"4","4","Family Reunion","lci","Near Mint","English","","","2024-01-19 19:00:29.090000","13","False","False",""
"2","2","Fangren Marauder","mbs","Near Mint","English","","","2024-02-22 00:28:05.280000","79","False","False",""
"2","2","Fathom Seer","ddn","Near Mint","English","","","2024-02-22 02:55:28.660000","45","False","False",""
"4","4","Festival Crasher","dbl","Near Mint","English","","","2024-02-22 03:43:43.747000","140","False","False",""
"4","4","Fiery Cannonade","cmr","Near Mint","English","foil","","2024-01-23 00:32:37.980000","178","False","False",""
"2","2","Fire // Ice","uma","Near Mint","English","","","2024-02-22 00:04:20.887000","225","False","False",""
"4","4","Fireblast","pd2","Near Mint","English","foil","","2024-03-15 15:08:11.683000","26","False","False",""
"4","4","Flame Slash","sch","Near Mint","Portuguese","","","2024-01-29 19:39:59.193000","1","False","False",""
"4","4","Flaring Pain","jud","Near Mint","English","","","2024-01-14 05:23:45.000000","89","False","False",""
"1","1","Fling","sth","Near Mint","English","","","2024-02-22 13:08:46.110000","82","False","False",""
"4","4","Force Spike","7ed","Near Mint","English","","","2024-01-14 23:45:12.090000","76","False","False",""
"20","20","Forest","2xm","Near Mint","English","","","2024-04-05 22:30:34.750000","381","False","False",""
"4","4","Foundry Street Denizen","m15","Near Mint","Portuguese","","","2024-01-14 05:27:01.387000","141","False","False",""
"4","4","Frantic Inventory","m21","Near Mint","Portuguese","","","2024-02-22 02:45:42.070000","50","False","False",""
"4","4","Frogmite","mm2","Near Mint","English","","","2024-01-19 19:00:55.173000","215","False","False",""
"4","4","Galvanic Blast","som","Near Mint","English","","","2024-01-14 05:23:48.037000","91","False","False",""
"4","4","Gemhide Sliver","tsp","Near Mint","English","","","2024-04-13 03:32:27.343000","196","False","False",""
"4","4","Ghitu Amplifier","dmu","Near Mint","Portuguese","","","2024-02-22 03:44:00.457000","127","False","False",""
"2","2","Ghostly Flicker","mm3","Near Mint","English","","","2024-02-22 02:56:27.250000","39","False","False",""
"4","4","Gingerbrute","eld","Near Mint","Portuguese","","","2024-02-21 12:17:10.663000","219","False","False",""
"4","4","Glacial Floodplain","khm","Near Mint","English","","","2024-02-25 19:47:37.163000","257","False","False",""
"1","1","Gladecover Scout","m14","Near Mint","English","","","2024-02-25 19:40:06.833000","176","False","False",""
"4","4","Glint Hawk","som","Near Mint","English","","","2024-02-22 03:09:28.547000","10","False","False",""
"3","3","Gnaw to the Bone","isd","Near Mint","Portuguese","","","2024-01-14 23:13:37.750000","183","False","False",""
"4","4","Goblin Blast-Runner","bro","Near Mint","English","","","2024-01-14 05:23:51.180000","137","False","False",""
"4","4","Goblin Bushwhacker","zen","Near Mint","English","","","2024-01-14 05:23:54.287000","125","False","False",""
"4","4","Goblin Grenade","j22","Near Mint","English","","","2024-01-14 05:23:57.977000","542","False","False",""
"4","4","Goblin Tomb Raider","lci","Near Mint","Portuguese","","","2024-01-14 05:24:00.770000","151","False","False",""
"4","4","Goblin Wizardry","m21","Near Mint","Portuguese","foil","","2024-02-22 03:44:52.003000","148","False","False",""
"4","4","God-Pharaoh's Faithful","hou","Near Mint","English","","","2024-03-01 16:40:37.383000","14","False","False",""
"4","4","Goldmire Bridge","brc","Near Mint","English","","","2024-02-27 18:02:40.703000","186","False","False",""
"4","4","Gorilla Shaman","mh2","Near Mint","English","","","2024-01-14 05:29:01.597000","280","False","False",""
"4","4","Great Furnace","sld","Near Mint","English","foil","","2024-04-05 22:39:29.660000","303","False","False",""
"4","4","Gurmag Angler","tsr","Near Mint","English","","","2024-03-01 16:32:22.213000","324","False","False",""
"2","2","Haunted Fengraf","a25","Near Mint","English","","","2024-02-22 00:57:11.693000","240","False","False",""
"2","2","Heart Sliver","tmp","Near Mint","English","","","2024-04-13 03:34:03.430000","182","False","False",""
"4","4","Hearth Charm","vis","Near Mint","Portuguese","","","2024-02-21 22:59:01.173000","82","False","False",""
"4","4","Heliod's Pilgrim","thb","Near Mint","Portuguese","foil","","2024-01-19 19:01:42.070000","20","False","False",""
"4","4","Hickory Woodlot","mmq","Near Mint","English","","","2024-01-14 23:35:39.893000","319","False","False",""
"4","4","Highland Forest","khm","Near Mint","English","","","2024-02-25 19:46:12.797000","261","False","False",""
"2","2","Holdout Settlement","ogw","Near Mint","English","","","2024-04-13 03:35:20.707000","172","False","False",""
"2","2","Honored Heirloom","vow","Near Mint","English","","","2024-02-22 02:05:27.727000","257","False","False",""
"4","4","Horror of the Broken Lands","akh","Near Mint","Portuguese","","","2024-02-22 03:09:50.690000","95","False","False",""
"3","3","Hunter Sliver","lgn","Near Mint","English","","","2024-04-13 03:31:28.677000","102","False","False",""
"4","4","Hydroblast","ice","Near Mint","English","","","2024-01-14 23:40:31.753000","72","False","False",""
"4","4","Ice Tunnel","khm","Near Mint","English","","","2024-02-25 19:46:54.007000","262","False","False",""
"3","3","Ichor Wellspring","ddu","Near Mint","English","","","2024-02-25 19:30:18.593000","54","False","False",""
"1","1","Immolating Souleater","nph","Near Mint","Portuguese","","","2024-02-22 02:06:30.737000","139","False","False",""
"2","2","Impact Tremors","dtk","Near Mint","Portuguese","","","2024-02-23 20:20:31.810000","140","False","False",""
"4","4","Implement of Combustion","aer","Near Mint","English","","","2024-01-14 23:30:33.763000","155","False","False",""
"4","4","Imposing Vantasaur","iko","Near Mint","Portuguese","","","2024-01-14 23:28:12.930000","17","False","False",""
"4","4","Impulse","dmu","Near Mint","Portuguese","","","2024-02-22 02:45:28.467000","55","False","False",""
"4","4","Infectious Inquiry","one","Near Mint","English","","","2024-01-14 23:25:42.570000","97","False","False",""
"4","4","Ingot Chewer","uma","Near Mint","English","","","2024-01-14 05:27:19.590000","135","False","False",""
"20","20","Island","2xm","Near Mint","English","","","2024-04-05 22:31:31.687000","375","False","False",""
"4","4","Izzet Boilerworks","brc","Near Mint","English","","","2024-02-23 17:57:13.217000","188","False","False",""
"4","4","Izzet Charm","rvr","Near Mint","English","","","2024-03-15 15:07:30.940000","368","False","False",""
"2","2","Jhessian Thief","ima","Near Mint","English","","","2024-02-22 02:55:43.690000","61","False","False",""
"4","4","Journey to Nowhere","zen","Near Mint","English","","","2024-02-23 04:15:06.033000","14","False","False",""
"1","1","Kaervek's Torch","mir","Near Mint","English","","","2024-02-22 13:09:21.273000","185","False","False",""
"2","2","Keen Glidemaster","m21","Near Mint","Portuguese","","","2024-03-06 23:37:57.250000","54","False","False",""
"3","3","Kenku Artificer","clb","Near Mint","Portuguese","foil","","2024-01-29 19:27:18.953000","80","False","False",""
"4","4","Kessig Flamebreather","vow","Near Mint","English","","","2024-02-22 12:36:14.923000","164","False","False",""
"4","4","Kick in the Door","afr","Near Mint","English","foil","","2024-02-22 03:10:01.300000","153","False","False",""
"4","4","Kiln Fiend","cn2","Near Mint","English","","","2024-02-22 03:35:20.550000","167","False","False",""
"4","4","Kor Skyfisher","mm3","Near Mint","English","","","2024-03-01 16:43:44.263000","11","False","False",""
"4","4","Kuldotha Rebirth","som","Near Mint","English","","","2024-01-14 05:24:04.210000","96","False","False",""
"4","4","Lava Dart","mh1","Near Mint","Portuguese","","","2024-02-22 03:44:17.337000","134","False","False",""
"4","4","Lava Spike","ppro","Near Mint","English","","","2024-04-10 21:07:49.370000","2022-1","False","False","0.00"
"4","4","Lead the Stampede","mbs","Near Mint","English","","","2024-04-13 03:33:45.713000","82","False","False",""
"4","4","Lembas","ltr","Near Mint","English","foil","","2024-04-05 22:35:16.633000","243","False","False",""
"4","4","Lightning Bolt","sld","Near Mint","English","foil","","2024-03-15 18:15:32.483000","85","False","False",""
"1","1","Llanowar Elves","m19","Near Mint","English","","","2024-02-25 19:35:26.400000","314","False","False",""
"4","4","Lórien Revealed","ltr","Near Mint","English","foil","","2024-04-05 22:34:55.627000","60","False","False",""
"4","4","Lose Focus","mh2","Near Mint","English","","","2024-03-07 23:39:02.967000","49","False","False",""
"4","4","Lotleth Giant","grn","Near Mint","English","","","2024-02-25 19:27:48.297000","74","False","False",""
"4","4","Lotus Petal","plst","Near Mint","English","","","2024-01-14 23:30:52.613000","TMP-294","False","False",""
"4","4","Maelstrom Colossus","cmr","Near Mint","Portuguese","","","2024-02-22 02:03:44.760000","322","False","False",""
"4","4","Maestros Theater","snc","Near Mint","Portuguese","","","2024-01-14 23:35:29.637000","251","False","False",""
"4","4","Makeshift Munitions","cmm","Near Mint","English","","","2024-01-14 05:29:54.077000","242","False","False",""
"4","4","Manamorphose","shm","Near Mint","Portuguese","","","2024-02-22 00:04:42.197000","211","False","False",""
"2","2","Masked Vandal","khm","Near Mint","English","","","2024-04-13 03:30:27.703000","184","False","False",""
"1","1","Masked Vandal","khm","Near Mint","English","foil","","2024-04-13 03:30:13.323000","405","False","False",""
"1","1","Masked Vandal","khm","Near Mint","English","","","2024-04-13 03:41:42.303000","405","False","False",""
"4","4","Metallic Rebuke","2xm","Near Mint","English","","","2024-02-21 12:18:30.607000","59","False","False",""
"4","4","Mine Collapse","mh2","Near Mint","English","","","2024-02-22 03:43:22.893000","408","False","False",""
"4","4","Mine Excavation","shm","Near Mint","English","","","2024-02-22 03:10:15.283000","13","False","False",""
"4","4","Mirrorshell Crab","neo","Near Mint","Portuguese","","","2024-01-14 23:51:34.467000","63","False","False",""
"4","4","Mistvault Bridge","brc","Near Mint","English","","","2024-02-23 17:56:46.007000","189","False","False",""
"3","3","Mnemonic Wall","ths","Near Mint","Portuguese","","","2024-02-22 03:03:47.850000","55","False","False",""
"4","4","Mogg Raider","tmp","Near Mint","English","","","2024-01-14 05:26:21.793000","191","False","False",""
"4","4","Mogg War Marshal","dmr","Near Mint","English","","","2024-01-14 05:27:45.357000","326","False","False",""
"4","4","Moment's Peace","ody","Near Mint","English","","","2024-01-14 23:10:21.583000","251","False","False",""
"4","4","Monstrous Carabid","arb","Near Mint","English","","","2024-01-14 23:16:04.603000","43","False","False",""
"2","2","Moonblade Shinobi","mh1","Near Mint","English","","","2024-02-22 02:55:14.720000","59","False","False",""
"4","4","Moon-Circuit Hacker","neo","Near Mint","English","","","2024-01-14 23:48:00.377000","334","False","False",""
"20","20","Mountain","2xm","Near Mint","English","","","2024-04-05 22:32:05.097000","379","False","False",""
"4","4","Muddle the Mixture","rvr","Near Mint","Portuguese","","","2024-01-23 00:33:12.370000","315","False","False",""
"2","2","Mukotai Ambusher","neo","Near Mint","Portuguese","","","2024-02-25 19:34:20.930000","342","False","False",""
"4","4","Mulldrifter","cmr","Near Mint","English","foil","","2024-03-01 16:49:53.763000","639","False","False",""
"4","4","Murmuring Mystic","rvr","Near Mint","Portuguese","","","2024-03-11 15:17:00.940000","51","False","False",""
"4","4","Muscle Sliver","tmp","Near Mint","English","","","2024-04-13 03:32:14.303000","238","False","False",""
"4","4","Mutagenic Growth","nph","Near Mint","English","","","2024-01-14 23:10:02.113000","116","False","False",""
"4","4","Myr Enforcer","mm2","Near Mint","English","","","2024-03-06 22:49:06.340000","224","False","False",""
"4","4","Mystical Teachings","mm3","Near Mint","English","","","2024-01-14 23:40:52.780000","44","False","False",""
"2","2","Negate","m20","Near Mint","Portuguese","","","2024-02-23 20:19:31.150000","69","False","False",""
"1","1","Network Terminal","neo","Near Mint","English","","","2024-02-22 02:05:49.980000","251","False","False",""
"4","4","Ninja of the Deep Hours","tsr","Near Mint","Portuguese","","","2024-02-22 03:10:27.970000","313","False","False",""
"4","4","Novice Inspector","mkm","Near Mint","English","","","2024-04-05 22:35:43.167000","29","False","False","0.00"
"4","4","Obsidian Acolyte","inv","Near Mint","English","","","2024-03-06 22:56:33.500000","22","False","False",""
"4","4","Of One Mind","iko","Near Mint","English","","","2024-01-14 23:44:30.847000","60","False","False",""
"2","2","Oliphaunt","ltr","Near Mint","Portuguese","","","2024-02-22 13:12:05.313000","139","False","False",""
"4","4","Ornithopter","brr","Near Mint","English","foil","","2024-01-25 21:21:55.683000","37","False","False",""
"4","4","Orzhov Basilica","brc","Near Mint","English","","","2024-02-27 18:02:58.347000","191","False","False",""
"4","4","Peat Bog","mmq","Near Mint","English","","","2024-02-22 03:10:35.940000","322","False","False",""
"4","4","Pentad Prism","5dn","Near Mint","English","","","2024-02-22 03:10:45.247000","143","False","False",""
"1","1","Pick Your Poison","mkm","Near Mint","Portuguese","","","2024-03-15 17:59:21.150000","170","False","False",""
"2","2","Pieces of the Puzzle","soi","Near Mint","Portuguese","","","2024-02-22 03:04:04.730000","78","False","False",""
"20","20","Plains","2xm","Near Mint","English","","","2024-04-05 22:32:37.103000","373","False","False",""
"4","4","Ponder","m12","Near Mint","English","","","2024-02-22 03:10:53.007000","73","False","False",""
"1","1","Power Plant Worker","bro","Near Mint","English","","","2024-02-22 02:05:40.423000","241","False","False",""
"4","4","Predatory Sliver","m14","Near Mint","English","","","2024-04-13 03:32:00.127000","189","False","False",""
"4","4","Preordain","m11","Near Mint","English","","","2024-02-22 02:44:34.403000","70","False","False",""
"1","1","Prismari Campus","stx","Near Mint","Portuguese","","","2024-02-22 00:58:04.710000","270","False","False",""
"3","3","Prohibit","mh1","Near Mint","English","","","2024-02-25 19:58:28.797000","64","False","False",""
"4","4","Prologue to Phyresis","one","Near Mint","English","","","2024-02-25 20:00:01.953000","65","False","False",""
"2","2","Pulse of Murasa","ogw","Near Mint","English","","","2024-02-25 20:01:24.490000","141","False","False",""
"4","4","Pyroblast","ice","Near Mint","English","","","2024-01-14 05:24:14.327000","213","False","False",""
"1","1","Quandrix Campus","stx","Near Mint","Portuguese","","","2024-02-22 00:58:28.600000","271","False","False",""
"4","4","Rakdos Carnarium","brc","Near Mint","English","","","2024-02-27 18:03:11.507000","194","False","False",""
"4","4","Raze the Effigy","dbl","Near Mint","English","","","2024-02-22 03:43:02.660000","156","False","False",""
"4","4","Razortide Bridge","brc","Near Mint","English","","","2024-01-25 21:22:06.973000","195","False","False",""
"4","4","Reaping the Graves","scg","Near Mint","English","","","2024-01-14 23:23:47.467000","72","False","False",""
"4","4","Reckless Impulse","dbl","Near Mint","English","","","2024-01-14 05:26:00.063000","441","False","False",""
"4","4","Red Elemental Blast","4ed","Near Mint","English","","","2024-03-15 15:07:17.820000","218","False","False",""
"2","2","Red Herring","mkm","Near Mint","English","","","2024-02-23 20:20:01.967000","142","False","False",""
"4","4","Relic of Progenitus","ala","Near Mint","English","","","2024-01-14 23:30:16.173000","218","False","False",""
"4","4","Repository Skaab","vow","Near Mint","Portuguese","","","2024-01-14 23:42:37.657000","73","False","False",""
"4","4","Rift Bolt","2x2","Near Mint","English","foil","","2024-04-10 21:06:47.113000","122","False","False",""
"3","3","Rimewood Falls","khm","Near Mint","English","","","2024-02-25 19:49:42.043000","266","False","False",""
"4","4","Rite of Flame","ss3","Near Mint","English","foil","","2024-01-29 19:43:02.490000","7","False","False",""
"2","2","Rolling Thunder","tmp","Near Mint","English","","","2024-02-22 13:08:11.657000","198","False","False",""
"1","1","Rubblebelt Maverick","mkm","Near Mint","English","","","2024-02-23 20:18:40.023000","174","False","False",""
"4","4","Rustvale Bridge","mh2","Near Mint","English","","","2024-02-25 19:43:49.003000","253","False","False",""
"4","4","Sacred Cat","akh","Near Mint","Portuguese","","","2024-02-19 02:20:42.177000","27","False","False",""
"4","4","Saiba Cryptomancer","mom","Near Mint","Portuguese","","","2024-03-07 23:37:37.983000","76","False","False",""
"4","4","Sandstone Needle","mmq","Near Mint","English","","","2024-01-25 21:22:02.393000","326","False","False",""
"4","4","Saprazzan Skerry","mmq","Near Mint","English","","","2024-02-25 20:02:27.573000","328","False","False",""
"2","2","Scatter Ray","bro","Near Mint","English","","","2024-02-22 02:57:32.027000","61","False","False",""
"1","1","Scattershot","scg","Near Mint","Portuguese","","","2024-02-22 13:15:46.783000","102","False","False",""
"4","4","Sea Gate Oracle","mm3","Near Mint","English","","","2024-02-25 19:29:41.383000","48","False","False",""
"4","4","Seal of Fire","nem","Near Mint","English","","","2024-04-02 22:51:01.453000","98","False","False",""
"4","4","Searing Blaze","wwk","Near Mint","English","","","2024-01-14 05:25:05.220000","90","False","False",""
"4","4","Seat of the Synod","sld","Near Mint","English","foil","","2024-04-05 22:41:03.353000","301","False","False",""
"4","4","Self-Assembler","a25","Near Mint","English","foil","","2024-02-22 02:01:52.887000","231","False","False",""
"2","2","Sentinel Sliver","m14","Near Mint","English","","","2024-04-13 03:34:16.620000","30","False","False",""
"4","4","Serpentine Curve","stx","Near Mint","Portuguese","","","2024-02-22 02:45:07.337000","52","False","False",""
"1","1","Shenanigans","mh1","Near Mint","English","","","2024-02-22 13:09:01.550000","146","False","False",""
"4","4","Sidewinder Sliver","tsp","Near Mint","English","","","2024-04-13 03:34:48.090000","41","False","False",""
"4","4","Silverbluff Bridge","brc","Near Mint","English","","","2024-02-27 18:03:24.260000","200","False","False",""
"4","4","Simian Spirit Guide","tsr","Near Mint","Portuguese","","","2024-01-29 19:44:53.343000","190","False","False",""
"4","4","Sinew Sliver","plc","Near Mint","English","","","2024-04-13 03:34:31.920000","30","False","False",""
"4","4","Skewer the Critics","rvr","Near Mint","English","foil","","2024-03-01 16:30:03.347000","340","False","False",""
"4","4","Skirk Prospector","dom","Near Mint","Portuguese","","","2024-04-12 23:03:09.700000","144","False","False",""
"4","4","Skred","csp","Near Mint","English","","","2024-02-25 19:41:45.887000","97","False","False",""
"4","4","Slagwoods Bridge","mh2","Near Mint","English","","","2024-03-07 23:48:10.370000","256","False","False",""
"1","1","Slime Against Humanity","mkm","Near Mint","English","","","2024-02-23 20:18:57.777000","177","False","False",""
"4","4","Smash to Smithereens","ori","Near Mint","English","","","2024-01-14 06:53:14.377000","163","False","False",""
"4","4","Snap","dmr","Near Mint","English","","","2024-01-14 23:49:49.963000","66","False","False",""
"15","15","Snow-Covered Island","mh1","Near Mint","Portuguese","","","2024-03-07 23:52:08.890000","251","False","False",""
"15","15","Snow-Covered Mountain","mh1","Near Mint","Portuguese","","","2024-03-07 23:51:47.043000","253","False","False",""
"4","4","Snuff Out","who","Near Mint","English","foil","","2024-04-05 22:35:27.220000","222","False","False",""
"4","4","Songs of the Damned","ice","Near Mint","English","","","2024-01-14 23:23:30.083000","160","False","False",""
